year,week,id,team,opp,q1,q2,q3,final,spread,OU,imp_tot,ABCD,AABC,AABB,AAAB,AAAA
1979,9,197910290atl,sea,atl,0,21,24,31,-2.0,42.0,22.0,false,true,false,false,false
1979,9,197910290atl,atl,sea,7,14,14,28,2.0,42.0,20.0,false,true,false,false,false
1979,10,197911040atl,tam,atl,7,7,7,14,2.0,37.0,17.5,false,false,false,true,false
1979,10,197911040atl,atl,tam,0,3,3,17,-2.0,37.0,19.5,false,true,false,false,false
1979,10,197911040buf,nwe,buf,0,6,16,26,-5.0,41.0,23.0,false,false,false,true,false
1979,10,197911040buf,buf,nwe,6,6,6,6,5.0,41.0,18.0,false,false,false,false,true
1979,10,197911040chi,det,chi,0,7,7,7,7.0,35.0,14.0,false,false,false,true,false
1979,10,197911040chi,chi,det,7,14,28,35,-7.0,35.0,21.0,true,false,false,false,false
1979,10,197911040clt,cin,clt,0,21,21,28,3.0,42.0,19.5,false,true,false,false,false
1979,10,197911040clt,clt,cin,7,17,24,38,-3.0,42.0,22.5,false,true,false,false,false
1979,10,197911040crd,min,crd,0,7,7,7,5.0,39.0,17.0,false,false,false,true,false
1979,10,197911040crd,crd,min,3,10,24,37,-5.0,39.0,22.0,true,false,false,false,false
1979,10,197911040den,nor,den,0,0,3,3,6.0,37.0,15.5,false,false,true,false,false
1979,10,197911040den,den,nor,3,3,3,10,-6.0,37.0,21.5,false,false,false,true,false
1979,10,197911040gnb,nyj,gnb,0,21,24,27,-4.0,39.0,21.5,true,false,false,false,false
1979,10,197911040gnb,gnb,nyj,6,15,22,22,4.0,39.0,17.5,false,true,false,false,false
1979,10,197911040kan,sdg,kan,10,10,13,20,-6.0,37.0,21.5,false,false,false,true,false
1979,10,197911040kan,kan,sdg,0,0,0,14,6.0,37.0,15.5,false,false,false,true,false
1979,10,197911040nyg,dal,nyg,3,3,6,16,-8.0,38.0,23.0,false,false,true,false,false
1979,10,197911040nyg,nyg,dal,0,7,7,14,8.0,38.0,15.0,false,true,false,false,false
1979,10,197911040phi,cle,phi,7,10,10,24,3.0,41.0,19.0,false,true,false,false,false
1979,10,197911040phi,phi,cle,6,13,19,19,-3.0,41.0,22.0,false,true,false,false,false
1979,10,197911040pit,was,pit,0,7,7,7,11.0,37.0,13.0,false,false,false,true,false
1979,10,197911040pit,pit,was,7,24,31,38,-11.0,37.0,24.0,true,false,false,false,false
1979,10,197911040rai,sfo,rai,0,10,10,10,12.0,44.0,16.0,false,false,false,false,true
1979,10,197911040rai,rai,sfo,9,16,23,23,-12.0,44.0,28.0,false,true,false,false,false
1979,10,197911040sea,ram,sea,14,21,24,24,3.0,41.0,19.0,false,false,false,true,false
1979,10,197911040sea,sea,ram,0,0,0,0,-3.0,41.0,22.0,false,false,false,false,true
1979,10,197911050mia,oti,mia,0,3,9,9,3.0,39.0,18.0,false,true,false,false,false
1979,10,197911050mia,mia,oti,3,3,3,6,-3.0,39.0,21.0,false,false,false,true,false
1979,11,197911110chi,ram,chi,9,16,23,23,0.0,34.0,17.0,false,true,false,false,false
1979,11,197911110chi,chi,ram,0,7,14,27,0.0,34.0,17.0,false,true,false,false,false
1979,11,197911110cin,sdg,cin,0,13,16,26,-4.0,43.0,23.5,false,true,false,false,false
1979,11,197911110cin,cin,sdg,14,14,14,24,4.0,43.0,19.5,false,false,false,false,true
1979,11,197911110cle,sea,cle,7,16,16,29,6.0,43.0,18.5,false,true,false,false,false
1979,11,197911110cle,cle,sea,0,3,17,24,-6.0,43.0,24.5,true,false,false,false,false
1979,11,197911110den,nwe,den,0,7,10,10,-1.0,34.0,17.5,false,false,false,true,false
